String,Count
La La Land (2016),258
Scream (1996),175
Everything Everywhere All at Once (2022),174
Mulholland Drive (2001),162
2001: A Space Odyssey (1968),153
The Thing (1982),135
Before Sunrise (1995),134
Whiplash (2014),130
Portrait of a Lady on Fire (2019),127
In the Mood for Love (2000),122
Chungking Express (1994),121
Eternal Sunshine of the Spotless Mind (2004),120
The Social Network (2010),116
Aftersun (2022),114
Alien (1979),114
Lady Bird (2017),111
Little Women (2019),103
Interstellar (2014),103
The Empire Strikes Back (1980),98
The Godfather (1972),98
Back to the Future (1985),98
John Wick: Chapter 4 (2023),97
Parasite (2019),96
Possession (1981),95
GoodFellas (1990),95
Jaws (1975),95
Pulp Fiction (1994),88
"Paris, Texas (1984)",88
Phantom Thread (2017),86
The Shining (1980),86
Jurassic Park (1993),82
Spirited Away (2001),82
Before Sunset (2004),81
The Handmaiden (2016),81
Arrival (2016),80
Magnolia (1999),80
Spider-Man: Into the Spider-Verse (2018),80
Blade Runner (1982),79
Twin Peaks: Fire Walk with Me (1992),78
Call Me by Your Name (2017),77
The Dark Knight (2008),77
Singin' in the Rain (1952),77
Black Swan (2010),76
Pride & Prejudice (2005),75
Halloween (1978),74
The Texas Chain Saw Massacre (1974),73
Fight Club (1999),73
Eyes Wide Shut (1999),72
The Apartment (1960),70
Moonlight (2016),70
Heat (1995),70
Donnie Darko (2001),70
The Lord of the Rings: The Return of the King (2003),69
Mommy (2014),68
Frances Ha (2012),68
Taxi Driver (1976),68
Evil Dead II (1987),67
Star Wars (1977),66
Mad Max: Fury Road (2015),66
The Worst Person in the World (2021),65
Carol (2015),65
Her (2013),64
The Batman (2022),64
When Harry Met Sally... (1989),63
12 Angry Men (1957),63
Raiders of the Lost Ark (1981),63
Babylon (2022),62
Little Miss Sunshine (2006),62
The Tree of Life (2011),61
Titanic (1997),60
The Truman Show (1998),60
Gone Girl (2014),59
All That Jazz (1979),58
The Matrix (1999),58
Suspiria (1977),57
Blade Runner 2049 (2017),57
The Silence of the Lambs (1991),57
The Shawshank Redemption (1994),56
Blue Velvet (1986),55
Fallen Angels (1995),55
Vertigo (1958),55
The Lord of the Rings: The Fellowship of the Ring (2001),55
The Big Lebowski (1998),54
A Clockwork Orange (1971),54
Seven Samurai (1954),54
Apocalypse Now (1979),54
It's a Wonderful Life (1946),54
Children of Men (2006),53
Columbus (2017),53
Boogie Nights (1997),53
Almost Famous (2000),53
Persona (1966),53
Kill Bill: Vol. 1 (2003),52
"Synecdoche, New York (2008)",52
Punch-Drunk Love (2002),52
Inside Llewyn Davis (2013),52
Perfect Blue (1997),52
Casablanca (1942),52
"The Good, the Bad and the Ugly (1966)",52
Rear Window (1954),51
Stalker (1979),50
Inglourious Basterds (2009),50
There Will Be Blood (2007),50
Psycho (1960),49
Lost in Translation (2003),48
Barry Lyndon (1975),48
Fantastic Mr. Fox (2009),48
Inception (2010),48
American Psycho (2000),47
The Royal Tenenbaums (2001),47
Paddington 2 (2017),47
Stand by Me (1986),47
Kiki's Delivery Service (1989),46
The Grand Budapest Hotel (2014),45
Dazed and Confused (1993),45
Midsommar (2019),45
Oldboy (2003),45
Stop Making Sense (1984),44
Dead Poets Society (1989),44
My Own Private Idaho (1991),44
The Banshees of Inisherin (2022),43
Good Will Hunting (1997),42
Scott Pilgrim vs. the World (2010),42
Scream VI (2023),42
The Florida Project (2017),42
TÁR (2022),42
Come and See (1985),42
Aliens (1986),41
Hereditary (2018),41
Once Upon a Time… in Hollywood (2019),41
The Godfather: Part II (1974),41
Neon Genesis Evangelion: The End of Evangelion (1997),41
Pan's Labyrinth (2006),41
The Red Shoes (1948),40
Terminator 2: Judgment Day (1991),40
Yi Yi (2000),40
House (1977),40
Howl's Moving Castle (2004),40
Bones and All (2022),39
Zodiac (2007),39
The Umbrellas of Cherbourg (1964),39
The Favourite (2018),39
Do the Right Thing (1989),39
A Brighter Summer Day (1991),39
Amélie (2001),38
Suspiria (2018),38
Trainspotting (1996),38
Y Tu Mamá También (2001),38
Twin Peaks: The Return (2017),38
Blow Out (1981),36
Your Name. (2016),36
The Young Girls of Rochefort (1967),36
The Fabelmans (2022),36
Prisoners (2013),36
Princess Mononoke (1997),36
Drive (2011),35
10 Things I Hate About You (1999),35
Raw (2016),35
After Hours (1985),35
Phantom of the Paradise (1974),35
Sunset Boulevard (1950),35
Dune (2021),35
The Night of the Hunter (1955),34
RoboCop (1987),34
Dawn of the Dead (1978),34
Amadeus (1984),34
Uncut Gems (2019),34
Memories of Murder (2003),34
Jennifer's Body (2009),33
The Graduate (1967),33
The Nice Guys (2016),33
Clueless (1995),33
Speed Racer (2008),33
Se7en (1995),33
The Exorcist (1973),33
Decision to Leave (2022),32
Drive My Car (2021),32
The Princess Bride (1987),32
Eraserhead (1977),32
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles (1975)",32
Top Gun: Maverick (2022),32
Coraline (2009),32
Harakiri (1962),32
Mirror (1975),32
Knives Out (2019),32
The Lighthouse (2019),32
La Haine (1995),32
The Master (2012),32
City of God (2002),32
Nashville (1975),31
Mamma Mia! (2008),31
Crash (1996),31
Burning (2018),31
Videodrome (1983),31
Body Double (1984),31
Brazil (1985),31
Ferris Bueller's Day Off (1986),31
The Long Goodbye (1973),31
Brief Encounter (1945),31
Once Upon a Time in the West (1968),31
Rocky (1976),30
Brokeback Mountain (2005),30
Fargo (1996),30
Close-Up (1990),30
The Rocky Horror Picture Show (1975),30
My Neighbor Totoro (1988),30
Tampopo (1985),29
Emma. (2020),29
RRR (2022),28
Marie Antoinette (2006),28
Hot Fuzz (2007),28
About Time (2013),28
School of Rock (2003),28
8½ (1963),28
The Passion of Joan of Arc (1928),28
Nope (2022),28
Mysterious Skin (2004),28
Spider-Man 2 (2004),28
Cinema Paradiso (1988),28
Mikey and Nicky (1976),27
The Witch (2015),27
Cure (1997),27
Lost Highway (1997),27
The Wolf of Wall Street (2013),27
The Super Mario Bros. Movie (2023),27
The Lion King (1994),27
Lawrence of Arabia (1962),27
WALL·E (2008),27
Ratatouille (2007),26
Harold and Maude (1971),26
Return of the Jedi (1983),26
Evil Dead (2013),26
The 400 Blows (1959),26
Bound (1996),26
Dog Day Afternoon (1975),26
Get Out (2017),26
Clue (1985),26
Moulin Rouge! (2001),25
Double Indemnity (1944),25
No Country for Old Men (2007),25
Under the Skin (2013),25
Annihilation (2018),25
The Evil Dead (1981),25
La Dolce Vita (1960),25
Spring Breakers (2012),25
Three Colours: Red (1994),24
Daisies (1966),24
The Virgin Suicides (1999),24
Chinatown (1974),24
Die Hard (1988),24
The Prestige (2006),24
The Lost Boys (1987),24
