movie,score
La La Land (2016),100
Scream (1996),99
Everything Everywhere All at Once (2022),99
Mulholland Drive (2001),99
2001: A Space Odyssey (1968),99
The Thing (1982),99
Before Sunrise (1995),99
Whiplash (2014),99
Portrait of a Lady on Fire (2019),99
In the Mood for Love (2000),99
Chungking Express (1994),99
Eternal Sunshine of the Spotless Mind (2004),99
The Social Network (2010),99
Aftersun (2022),99
Alien (1979),99
Lady Bird (2017),99
Little Women (2019),99
Interstellar (2014),99
The Empire Strikes Back (1980),99
The Godfather (1972),99
Back to the Future (1985),99
John Wick: Chapter 4 (2023),99
Parasite (2019),99
Possession (1981),99
GoodFellas (1990),99
Jaws (1975),99
Pulp Fiction (1994),99
"Paris, Texas (1984)",99
Phantom Thread (2017),99
The Shining (1980),99
Jurassic Park (1993),99
Spirited Away (2001),99
Before Sunset (2004),99
The Handmaiden (2016),99
Arrival (2016),99
Magnolia (1999),99
Spider-Man: Into the Spider-Verse (2018),99
Blade Runner (1982),99
Twin Peaks: Fire Walk with Me (1992),99
Call Me by Your Name (2017),99
The Dark Knight (2008),99
Singin' in the Rain (1952),99
Black Swan (2010),99
Pride & Prejudice (2005),99
Halloween (1978),99
The Texas Chain Saw Massacre (1974),99
Fight Club (1999),99
Eyes Wide Shut (1999),99
The Apartment (1960),99
Moonlight (2016),99
Heat (1995),99
Donnie Darko (2001),99
The Lord of the Rings: The Return of the King (2003),99
Mommy (2014),99
Frances Ha (2012),99
Taxi Driver (1976),99
Evil Dead II (1987),99
Star Wars (1977),99
Mad Max: Fury Road (2015),99
The Worst Person in the World (2021),99
Carol (2015),99
Her (2013),99
The Batman (2022),99
When Harry Met Sally... (1989),99
12 Angry Men (1957),99
Raiders of the Lost Ark (1981),99
Babylon (2022),98
Little Miss Sunshine (2006),98
The Tree of Life (2011),98
Titanic (1997),98
The Truman Show (1998),98
Gone Girl (2014),98
All That Jazz (1979),98
The Matrix (1999),98
Suspiria (1977),98
Blade Runner 2049 (2017),98
The Silence of the Lambs (1991),98
The Shawshank Redemption (1994),98
Blue Velvet (1986),98
Fallen Angels (1995),98
Vertigo (1958),98
The Lord of the Rings: The Fellowship of the Ring (2001),98
The Big Lebowski (1998),98
A Clockwork Orange (1971),98
Seven Samurai (1954),98
Apocalypse Now (1979),98
It's a Wonderful Life (1946),98
Children of Men (2006),98
Columbus (2017),98
Boogie Nights (1997),98
Almost Famous (2000),98
Persona (1966),98
Kill Bill: Vol. 1 (2003),98
"Synecdoche, New York (2008)",98
Punch-Drunk Love (2002),98
Inside Llewyn Davis (2013),98
Perfect Blue (1997),98
Casablanca (1942),98
"The Good, the Bad and the Ugly (1966)",98
Rear Window (1954),98
Stalker (1979),98
Inglourious Basterds (2009),98
There Will Be Blood (2007),98
Psycho (1960),98
Lost in Translation (2003),98
Barry Lyndon (1975),98
Fantastic Mr. Fox (2009),98
Inception (2010),98
American Psycho (2000),98
The Royal Tenenbaums (2001),98
Paddington 2 (2017),98
Stand by Me (1986),98
Kiki's Delivery Service (1989),98
The Grand Budapest Hotel (2014),98
Dazed and Confused (1993),98
Midsommar (2019),98
Oldboy (2003),98
Stop Making Sense (1984),98
Dead Poets Society (1989),98
My Own Private Idaho (1991),98
The Banshees of Inisherin (2022),98
Good Will Hunting (1997),98
Scott Pilgrim vs. the World (2010),98
Scream VI (2023),98
The Florida Project (2017),98
TÁR (2022),98
Come and See (1985),98
Aliens (1986),98
Hereditary (2018),98
Once Upon a Time… in Hollywood (2019),98
The Godfather: Part II (1974),98
Neon Genesis Evangelion: The End of Evangelion (1997),98
Pan's Labyrinth (2006),97
The Red Shoes (1948),97
Terminator 2: Judgment Day (1991),97
Yi Yi (2000),97
House (1977),97
Howl's Moving Castle (2004),97
Bones and All (2022),97
Zodiac (2007),97
The Umbrellas of Cherbourg (1964),97
